Rank,Name,8-Year Graduation Rate,Number of Pell Graduates,Pell Performance Rank,Earnings Performance Rank,Net Price of Attendance for Families Below $75k Income,Social Mobility Rank,Research Rank,Service Rank,Admission Rate,Enrollment,Share of White Students,In-State Tuition Fee,Out-of-State Tuition Fee,Median Earnings of Students,Note: 
1,Harvard University (MA),98%,262,281,87,1758,15,3,19,0.0401,7938.0,0.3634,55587.0,55587.0,95114.0,
2,Stanford University (CA),96%,257,130,11,355,6,2,169,0.0395,7645.0,0.2798,56169.0,56169.0,106987.0,
3,MA Institute of Technology (MA),96%,187,78,6,-853,3,1,274,,1403.0,0.3086,,,31896.0,
4,University of Pennsylvania (PA),97%,368,189,1,3722,2,9,73,0.5827,395.0,0.8,27200.0,27200.0,38264.0,
5,Princeton University (NJ),98%,169,84,7,4618,5,5,138,0.0438,5236.0,0.385,56010.0,56010.0,110433.0,
6,Duke University (NC),95%,221,153,59,3068,23,15,8,0.0589,6815.0,0.4001,60244.0,60244.0,97418.0,
7,Columbia Univ. in the City of NY (NY),93%,417,56,23,3027,8,14,174,,,,,,,No data found
8,Yale University (CT),98%,160,81,35,2810,12,7,201,0.0531,6535.0,0.3717,59950.0,59950.0,95961.0,
9,University of CA–Berkeley (CA)*,93%,2358,54,284,10260,48,6,33,0.8769,2861.0,0.3862,6068.0,6068.0,50616.0,
10,Cornell University (NY),95%,595,205,77,6362,35,12,44,,,,,,98321.0,
11,University of WI–Madison (WI)*,87%,1026,185,270,7406,62,17,6,0.6798,14161.0,0.7808,7238.0,21303.0,52560.0,
12,University of Notre Dame (IN),96%,226,179,41,12578,39,58,2,0.1507,8950.0,0.6572,58843.0,58843.0,93220.0,
13,Johns Hopkins University (MD),93%,197,138,335,4751,70,8,27,0.0752,5727.0,0.2389,58720.0,58720.0,89551.0,
14,University of WA–Seattle (WA)*,84%,1839,196,258,6802,52,13,40,0.994,1724.0,0.67,33390.0,33390.0,48788.0,
15,Georgetown University (DC),94%,243,360,3,8233,11,101,35,0.1198,7395.0,0.4999,59957.0,59957.0,101797.0,
16,University of California–LA (CA)*,93%,2864,58,331,9286,43,16,118,,,,,,,
17,University of NC–Chapel Hill (NC)*,90%,948,270,313,7273,58,21,13,,,,,,,No data found
18,Vanderbilt University (TN),93%,235,92,170,6462,47,30,17,0.0714,7104.0,0.4139,56966.0,56966.0,84415.0,
19,Florida International University (FL)*,66%,4561,21,204,4931,4,121,179,0.6401,39936.0,0.0918,6565.0,18963.0,57946.0,
20,University of CA–San Diego (CA)*,89%,2296,20,269,10698,29,10,295,0.342,33339.0,0.1897,14700.0,44454.0,82255.0,
21,University of California–Davis (CA)*,89%,2877,66,192,11273,25,26,197,0.4875,31637.0,0.2136,14645.0,44399.0,74305.0,
22,University of Florida (FL)*,88%,2740,82,312,2768,19,31,216,0.3707,33368.0,0.5788,5656.0,18786.0,57007.0,
23,University of MI–Ann Arbor (MI)*,93%,1012,148,257,6621,53,11,213,0.2015,32063.0,0.5323,16178.0,53232.0,79580.0,
24,Univ. of IL–Urbana-Champaign (IL)*,86%,1606,51,145,8120,33,23,187,0.5966,33889.0,0.4044,15442.0,32892.0,77368.0,
25,Brigham Young University (UT),85%,1159,4,4,10651,1,122,391,0.8769,2861.0,0.3862,6068.0,6068.0,50616.0,
